Time, Sex_ratio, Time-in, Tm, Tf, Gift, RejPr, Offs, N
222,0.489000,0.375000,0.195092,1.000000,0.065440,0.342689,736,1000
223,0.496000,0.359000,0.194030,1.000000,0.068548,0.350500,777,1000
224,0.489000,0.343000,0.202628,1.000000,0.063395,0.361797,858,1000
225,0.521000,0.377000,0.197050,1.000000,0.090211,0.377759,838,1000
226,0.521000,0.380000,0.193053,1.000000,0.072937,0.368102,841,1000
227,0.507000,0.385000,0.197674,1.000000,0.047337,0.363036,709,1000
228,0.517000,0.394000,0.191058,1.000000,0.056093,0.387979,761,1000
229,0.502000,0.364000,0.189135,1.000000,0.063745,0.375782,840,1000
230,0.508000,0.370000,0.182062,1.000000,0.057087,0.376220,758,1000
231,0.510000,0.379000,0.182232,1.000000,0.074510,0.384056,846,1000
232,0.504000,0.353000,0.186555,1.000000,0.077381,0.358807,886,1000
233,0.500000,0.372000,0.186711,1.000000,0.066000,0.350717,779,1000
234,0.523000,0.397000,0.180466,1.000000,0.074570,0.360972,740,1000
235,0.507000,0.359000,0.181691,1.000000,0.061144,0.358823,874,1000
236,0.502000,0.378000,0.189487,1.000000,0.057769,0.360306,811,1000
237,0.481000,0.343000,0.188085,1.000000,0.056133,0.331922,820,1000
238,0.492000,0.347000,0.186376,1.000000,0.065041,0.337124,836,1000
239,0.498000,0.363000,0.193772,1.000000,0.074297,0.329987,803,1000
240,0.499000,0.376000,0.194695,1.000000,0.054108,0.332771,778,1000
241,0.485000,0.350000,0.200219,1.000000,0.053608,0.330708,852,1000
242,0.477000,0.328000,0.198311,1.000000,0.067086,0.311714,859,1000
243,0.480000,0.337000,0.197695,1.000000,0.070833,0.315942,831,1000
244,0.494000,0.361000,0.201820,1.000000,0.058704,0.326622,824,1000
245,0.482000,0.347000,0.206634,1.000000,0.072614,0.328309,871,1000
246,0.499000,0.373000,0.190126,1.000000,0.068136,0.349939,782,1000
247,0.499000,0.360000,0.181448,1.000000,0.070140,0.348328,844,1000
248,0.490000,0.363000,0.184734,1.000000,0.061224,0.358357,768,1000
249,0.492000,0.356000,0.200535,1.000000,0.054878,0.370012,785,1000
250,0.492000,0.365000,0.192690,1.000000,0.050813,0.371691,789,1000
251,0.519000,0.401000,0.191141,1.000000,0.042389,0.384361,761,1000
252,0.513000,0.367000,0.185671,1.000000,0.068226,0.375815,866,1000
253,0.505000,0.386000,0.188586,1.000000,0.063366,0.374401,732,1000
254,0.487000,0.361000,0.187679,1.000000,0.063655,0.357251,801,1000
255,0.483000,0.335000,0.183644,1.000000,0.086957,0.344626,834,1000
256,0.482000,0.356000,0.187178,1.000000,0.056017,0.345452,795,1000
257,0.501000,0.376000,0.185835,1.000000,0.063872,0.361704,783,1000
258,0.508000,0.372000,0.181927,1.000000,0.070866,0.378284,803,1000
259,0.511000,0.381000,0.174896,1.000000,0.058708,0.377562,840,1000
260,0.510000,0.365000,0.174222,1.000000,0.050980,0.379125,864,1000
261,0.510000,0.365000,0.178357,1.000000,0.058824,0.375599,856,1000
262,0.502000,0.379000,0.178819,1.000000,0.055777,0.368067,712,1000
263,0.469000,0.339000,0.186944,1.000000,0.066098,0.351617,807,1000
264,0.466000,0.333000,0.192166,1.000000,0.085837,0.337444,801,1000
265,0.480000,0.333000,0.201370,1.000000,0.060417,0.348096,910,1000
266,0.501000,0.369000,0.196641,1.000000,0.051896,0.367236,812,1000
267,0.504000,0.355000,0.191439,1.000000,0.061508,0.362801,840,1000
268,0.496000,0.354000,0.197914,1.000000,0.080645,0.360529,872,1000
269,0.494000,0.350000,0.193688,1.000000,0.062753,0.359982,838,1000
270,0.511000,0.371000,0.185153,1.000000,0.076321,0.364309,849,1000
271,0.498000,0.365000,0.178562,1.000000,0.060241,0.358565,735,1000
272,0.501000,0.359000,0.181557,1.000000,0.065868,0.348991,771,1000
273,0.475000,0.337000,0.180335,1.000000,0.084211,0.331682,860,1000
274,0.480000,0.343000,0.184253,1.000000,0.077083,0.327368,838,1000
275,0.487000,0.339000,0.190239,1.000000,0.061602,0.331783,836,1000
276,0.514000,0.377000,0.185423,1.000000,0.062257,0.364257,781,1000
277,0.494000,0.367000,0.186559,1.000000,0.048583,0.355579,737,1000
278,0.494000,0.357000,0.190158,1.000000,0.052632,0.354813,782,1000
279,0.483000,0.343000,0.199212,1.000000,0.068323,0.355709,894,1000
280,0.496000,0.359000,0.203547,1.000000,0.066532,0.365622,816,1000
281,0.507000,0.384000,0.213160,1.000000,0.061144,0.369201,771,1000
282,0.513000,0.372000,0.215418,1.000000,0.060429,0.372978,817,1000
283,0.494000,0.362000,0.214503,1.000000,0.070850,0.371825,851,1000
284,0.508000,0.369000,0.216168,1.000000,0.080709,0.382072,818,1000
285,0.511000,0.388000,0.209669,1.000000,0.062622,0.390932,723,1000
286,0.509000,0.386000,0.215991,1.000000,0.060904,0.388230,664,1000
287,0.478000,0.348000,0.217632,1.000000,0.077406,0.372515,937,1000
288,0.485000,0.349000,0.216827,1.000000,0.055670,0.382280,894,1000
289,0.527000,0.386000,0.215653,1.000000,0.064516,0.418395,843,1000
290,0.502000,0.381000,0.221426,1.000000,0.055777,0.383279,762,1000
291,0.513000,0.388000,0.233145,1.000000,0.052632,0.389057,795,1000
292,0.518000,0.388000,0.227557,1.000000,0.050193,0.377992,747,1000
293,0.514000,0.393000,0.231856,1.000000,0.070039,0.375870,788,1000
294,0.477000,0.338000,0.230825,1.000000,0.075472,0.353170,810,1000
295,0.485000,0.346000,0.223295,1.000000,0.080412,0.360059,878,1000
296,0.495000,0.365000,0.224860,1.000000,0.064646,0.376342,823,1000
297,0.511000,0.371000,0.223982,1.000000,0.064579,0.398727,820,1000
298,0.504000,0.373000,0.223037,1.000000,0.075397,0.390865,873,1000
299,0.492000,0.349000,0.216002,1.000000,0.073171,0.387476,901,1000
300,0.488000,0.344000,0.212770,1.000000,0.073770,0.380733,837,1000
301,0.493000,0.351000,0.210361,1.000000,0.085193,0.385904,865,1000
302,0.506000,0.371000,0.207417,1.000000,0.073123,0.400090,811,1000
303,0.498000,0.358000,0.206543,1.000000,0.060241,0.388951,844,1000
304,0.518000,0.380000,0.207305,1.000000,0.059846,0.409322,858,1000
305,0.534000,0.378000,0.220255,1.000000,0.061798,0.412859,886,1000
306,0.494000,0.365000,0.223734,1.000000,0.064777,0.375634,826,1000
307,0.480000,0.349000,0.217535,1.000000,0.075000,0.377830,753,1000
308,0.517000,0.377000,0.215556,1.000000,0.056093,0.405090,805,1000
309,0.473000,0.330000,0.213376,1.000000,0.082452,0.376072,889,1000
310,0.479000,0.346000,0.213291,1.000000,0.073069,0.374555,762,1000
311,0.519000,0.370000,0.208967,1.000000,0.073218,0.411937,885,1000
312,0.507000,0.381000,0.204094,1.000000,0.061144,0.406777,723,1000
313,0.518000,0.402000,0.199547,1.000000,0.081081,0.411614,771,1000
314,0.515000,0.365000,0.195729,1.000000,0.058252,0.400855,802,1000
315,0.503000,0.361000,0.196075,1.000000,0.067594,0.387801,881,1000
316,0.501000,0.378000,0.202731,1.000000,0.053892,0.367216,731,1000
317,0.475000,0.348000,0.209859,1.000000,0.061053,0.356687,735,1000
318,0.498000,0.359000,0.207576,1.000000,0.076305,0.370617,828,1000
319,0.497000,0.380000,0.188861,1.000000,0.062374,0.397555,752,1000
320,0.478000,0.360000,0.182096,1.000000,0.071130,0.390197,847,1000
321,0.501000,0.372000,0.173032,1.000000,0.057884,0.423006,857,1000
322,0.490000,0.345000,0.174910,1.000000,0.083673,0.412794,922,1000
323,0.483000,0.356000,0.171892,1.000000,0.072464,0.408057,817,1000
324,0.485000,0.339000,0.169776,1.000000,0.074227,0.401693,882,1000
325,0.486000,0.343000,0.163711,1.000000,0.074074,0.400240,819,1000
326,0.489000,0.338000,0.162018,1.000000,0.077710,0.410818,866,1000
327,0.483000,0.323000,0.167628,1.000000,0.076605,0.382401,977,1000
328,0.462000,0.318000,0.172288,1.000000,0.058442,0.371026,860,1000
329,0.473000,0.338000,0.170986,1.000000,0.059197,0.382407,872,1000
330,0.520000,0.395000,0.175534,1.000000,0.055769,0.419034,690,1000
331,0.505000,0.379000,0.173327,1.000000,0.059406,0.411338,750,1000
332,0.505000,0.383000,0.173211,1.000000,0.065347,0.410139,771,1000
333,0.523000,0.392000,0.162438,1.000000,0.070746,0.428800,773,1000
334,0.505000,0.371000,0.160845,1.000000,0.061386,0.424232,836,1000
335,0.491000,0.368000,0.164094,1.000000,0.044807,0.406481,866,1000
336,0.486000,0.349000,0.155666,1.000000,0.055556,0.404299,862,1000
337,0.484000,0.339000,0.161657,1.000000,0.066116,0.383972,824,1000
338,0.484000,0.364000,0.162802,1.000000,0.059917,0.387519,784,1000
339,0.492000,0.363000,0.155573,1.000000,0.056911,0.388048,820,1000
340,0.511000,0.368000,0.152733,1.000000,0.060665,0.376426,771,1000
341,0.505000,0.368000,0.143231,1.000000,0.061386,0.392510,761,1000
342,0.506000,0.359000,0.143854,1.000000,0.090909,0.385567,856,1000
343,0.529000,0.396000,0.144708,1.000000,0.064272,0.398720,733,1000
344,0.514000,0.360000,0.152768,1.000000,0.081712,0.388678,895,1000
345,0.490000,0.353000,0.156561,1.000000,0.071429,0.355594,731,1000
346,0.502000,0.373000,0.164867,1.000000,0.059761,0.364020,734,1000
347,0.501000,0.354000,0.166246,1.000000,0.067864,0.348258,908,1000
348,0.526000,0.399000,0.177202,1.000000,0.058935,0.365637,706,1000
349,0.507000,0.385000,0.172928,1.000000,0.065089,0.340899,762,1000
350,0.509000,0.378000,0.164840,1.000000,0.060904,0.350400,778,1000
351,0.494000,0.355000,0.155033,1.000000,0.072874,0.339001,898,1000
352,0.508000,0.379000,0.152965,1.000000,0.039370,0.358128,813,1000
353,0.504000,0.381000,0.147905,1.000000,0.053571,0.352083,727,1000
354,0.506000,0.387000,0.153868,1.000000,0.047431,0.337738,702,1000
355,0.481000,0.355000,0.152992,1.000000,0.074844,0.326505,796,1000
356,0.496000,0.359000,0.159742,1.000000,0.068548,0.319684,871,1000
357,0.517000,0.412000,0.155325,1.000000,0.056093,0.355148,587,1000
358,0.511411,0.385892,0.151494,1.000000,0.064909,0.370149,692,964
359,0.505000,0.397000,0.157830,1.000000,0.063366,0.372339,632,1000
360,0.491000,0.338000,0.159087,1.000000,0.079430,0.340185,926,1000
361,0.501000,0.360000,0.163117,1.000000,0.069860,0.343658,790,1000
362,0.507000,0.368000,0.156549,1.000000,0.065089,0.356785,860,1000
363,0.483000,0.347000,0.153721,1.000000,0.057971,0.358642,804,1000
364,0.488000,0.368000,0.156442,1.000000,0.077869,0.355278,801,1000
365,0.485000,0.347000,0.153854,1.000000,0.092784,0.373978,784,1000
366,0.504000,0.367000,0.160016,1.000000,0.073413,0.344379,831,1000
367,0.505000,0.380000,0.161870,1.000000,0.055446,0.343439,777,1000
368,0.512000,0.363000,0.165734,1.000000,0.078125,0.352728,864,1000
369,0.538000,0.396000,0.169333,1.000000,0.078067,0.370170,889,1000
370,0.486000,0.351000,0.170188,1.000000,0.088477,0.313082,759,1000
371,0.479000,0.345000,0.164165,1.000000,0.079332,0.308072,804,1000
372,0.502000,0.375000,0.164875,1.000000,0.067729,0.319542,825,1000
